living_space,price_per_unit,bathroom_number,property_type,furnished,state,built_year,latitude,land_space,premium,bedroom_number,price,address,longitude,tenure,district,price_usd,price_per_unit_usd
65.0,90769,1,Condo,Fully Furnished,Phuket,2020.0,7.946718,,0,1,5900000,"Kammala, Kathu, Phuket",98.268805,Freehold,Kammala,173529.0,2670.0
90.0,73333,1,Condo,Fully Furnished,Phuket,2012.0,7.817934,,0,2,6600000,"ปฏัก ปฏัก, Karon, Muang Phuket, Phuket",98.312717,,Karon,194118.0,2157.0
126.0,23809,2,Apartment,Partially Furnished,Phuket,,7.9823123,,0,2,3000000,"Choeng Thale, Thalang, Phuket",98.285272,,Choeng Thale,88235.0,700.0
135.0,80740,2,Apartment,Unfurnished,Phuket,,7.8358342,,0,2,10900000,"Karon, Muang Phuket, Phuket",98.2999577,,Karon,320588.0,2375.0
161.0,42857,3,Detached House,Fully Furnished,Phuket,,7.953493,154.0,0,3,6600000,"Ko Kaeo, Muang Phuket, Phuket",98.383145,,Ko Kaeo,194118.0,1260.0
107.0,121226,2,Condo,Fully Furnished,Phuket,2012.0,7.9027973,,0,2,12971200,"พระบารมี พระบารมี, Patong, Kathu, Phuket",98.3080182,,Patong,381506.0,3565.0
269.0,32246,3,Detached House,Partially Furnished,Phuket,,7.8594245,928.0,0,3,29925000,"Chalong, Muang Phuket, Phuket",98.3440686,,Chalong,880147.0,948.0
106.0,24720,2,Detached House,Unfurnished,Phuket,,8.0217197,161.0,0,2,3980000,"Thep Krasattri, Thalang, Phuket",98.3220615,,Thep Krasattri,117059.0,727.0
228.0,162000,2,Condo,Fully Furnished,Phuket,2014.0,7.824568,,0,3,36936000,"29/17-18 หมู่ 5, Karon, Muang Phuket, Phuket",98.303996,,Karon,1086353.0,4765.0
418.0,39234,3,Detached House,Unfurnished,Phuket,,8.0387143,627.0,0,3,24600000,"Thep Krasattri, Thalang, Phuket",98.3178007,,Thep Krasattri,723529.0,1154.0
120.0,27406,2,Detached House,Fully Furnished,Phuket,,7.810608,347.0,0,2,9510000,"Rawai, Muang Phuket, Phuket",98.328624,,Rawai,279706.0,806.0
150.0,89626,2,Condo,Fully Furnished,Phuket,2012.0,7.976032,,0,2,13444000,"25/3 Hadsurin, Choeng Thale, Thalang, Phuket",98.282733,Freehold,Choeng Thale,395412.0,2636.0
48.00000000000001,95600,1,Condo,Fully Furnished,Phuket,2012.0,7.9027973,,0,,4588800,"พระบารมี พระบารมี, Patong, Kathu, Phuket",98.3080182,,Patong,134965.0,2812.0
43.0,81395,1,Apartment,Unfurnished,Phuket,,7.8358342,,0,1,3500000,"Karon, Muang Phuket, Phuket",98.2999577,,Karon,102941.0,2394.0
200.0,16000,4,Detached House,Fully Furnished,Phuket,,7.9772548,500.0,0,3,8000000,"Sri Sunthon, Thalang, Phuket",98.3352253,,Sri Sunthon,235294.0,471.0
25.0,132247,1,Condo,Fully Furnished,Phuket,2021.0,8.034256,,0,,3306177,"Soi Layan 4, Choeng Thale, Thalang, Phuket",98.292068,Freehold,Choeng Thale,97240.0,3890.0
70.0,93714,1,Apartment,Fully Furnished,Phuket,,7.877447,,0,1,6560000,"Patong, Kathu, Phuket",98.298738,,Patong,192941.0,2756.0
200.0,43548,3,Detached House,,Phuket,,8.018355,310.0,0,3,13500000,"Choeng Thale, Thalang, Phuket",98.310285,,Choeng Thale,397059.0,1281.0
279.0,143333,3,Detached House,Unfurnished,Phuket,,7.8277802,150.0,0,3,21500000,"Karon, Muang Phuket, Phuket",98.3047758,,Karon,632353.0,4216.0
107.0,94218,2,Townhouse,Fully Furnished,Phuket,,7.9807656,105.0,0,2,10081330,"Choeng Thale, Thalang, Phuket",98.2832322,,Choeng Thale,296510.0,2771.0
198.0,60606,3,Townhouse,Fully Furnished,Phuket,,7.941227,171.0,0,2,12000000,"Kammala, Kathu, Phuket",98.280562,,Kammala,352941.0,1783.0
28.0,103925,1,Condo,Fully Furnished,Phuket,2013.0,7.90159,,0,,2909900,"Soi Hongyok Utis Yaowarat Road, Talat Yai, Muang Phuket, Phuket",98.378572,Freehold,Talat Yai,85585.0,3057.0
34.0,129694,1,Condo,,Phuket,2019.0,7.947589,,0,,4409600,"63/1 Sirinart Road, Patong, Kathu, Phuket",98.271956,Freehold,Patong,129694.0,3815.0
338.0,61313,4,Detached House,Unfurnished,Phuket,,8.0054511,258.0,0,3,15818775,"Sri Sunthon, Thalang, Phuket",98.3206322,,Sri Sunthon,465258.0,1803.0
184.0,40304,3,Detached House,Fully Furnished,Phuket,,8.019697,526.0,0,3,21200000,"Thep Krasattri, Thalang, Phuket",98.3151961,,Thep Krasattri,623529.0,1185.0
45.0,64444,1,Condo,Fully Furnished,Phuket,2021.0,7.879898,,0,1,2900000,"Soi Verakij, Patong, Kathu, Phuket",98.297687,Freehold,Patong,85294.0,1895.0
450.0,58467,5,Detached House,Fully Furnished,Phuket,,7.961097,248.0,0,4,14500000,"Ko Kaeo, Muang Phuket, Phuket",98.380195,,Ko Kaeo,426471.0,1720.0
142.0,54929,2,Condo,Fully Furnished,Phuket,2012.0,7.939621,,0,3,7800000,"10/33 Kamala, Kammala, Kathu, Phuket",98.292125,,Kammala,229412.0,1616.0
37.0,140950,1,Condo,Fully Furnished,Phuket,2021.0,8.034256,,0,1,5215185,"Soi Layan 4, Choeng Thale, Thalang, Phuket",98.292068,Freehold,Choeng Thale,153388.0,4146.0
218.0,34050,2,Detached House,Fully Furnished,Phuket,,7.984041,437.0,0,2,14880000,"Choeng Thale, Thalang, Phuket",98.296581,,Choeng Thale,437647.0,1001.0
91.0,80219,1,Condo,Fully Furnished,Phuket,2012.0,7.817934,,0,2,7300000,"ปฏัก ปฏัก, Karon, Muang Phuket, Phuket",98.312717,,Karon,214706.0,2359.0
180.0,33333,2,Townhouse,Unfurnished,Phuket,,7.953891,96.0,0,2,6000000,"Kammala, Kathu, Phuket",98.28845,,Kammala,176471.0,980.0
250.0,30909,3,Detached House,Fully Furnished,Phuket,,7.988302,550.0,0,3,17000000,"Choeng Thale, Thalang, Phuket",98.297414,,Choeng Thale,500000.0,909.0
120.0,112500,2,Condo,,Phuket,2012.0,7.861106,,0,3,13500000,"เจ้าฟ้านอก Chao fah nok, Wichit, Muang Phuket, Phuket",98.35309,Freehold,Wichit,397059.0,3309.0
113.0,88495,2,Apartment,Fully Furnished,Phuket,,8.0073853,,0,2,10000000,"Choeng Thale, Thalang, Phuket",98.2980526,,Choeng Thale,294118.0,2603.0
134.0,58955,3,Townhouse,Unfurnished,Phuket,,7.9421593,94.0,0,3,7900000,"Kammala, Kathu, Phuket",98.2923763,,Kammala,232353.0,1734.0
246.0,82857,3,Detached House,,Phuket,,8.0634729,350.0,0,3,29000000,"Sa Khu, Thalang, Phuket",98.2831541,,Sa Khu,852941.0,2437.0
132.0,122448,2,Detached House,Fully Furnished,Phuket,,7.798164,98.0,0,2,12000000,"Rawai, Muang Phuket, Phuket",98.33609,,Rawai,352941.0,3601.0
215.0,41530,3,Detached House,Unfurnished,Phuket,,8.0947785,370.0,0,3,15366400,"Thep Krasattri, Thalang, Phuket",98.3630926,,Thep Krasattri,451953.0,1221.0
37.0,141563,1,Condo,Fully Furnished,Phuket,2021.0,8.034256,,0,1,5237841,"Soi Layan 4, Choeng Thale, Thalang, Phuket",98.292068,Freehold,Choeng Thale,154054.0,4164.0
48.00000000000001,129583,1,Condo,Fully Furnished,Phuket,2012.0,7.817934,,0,1,6220000,"ปฏัก ปฏัก, Karon, Muang Phuket, Phuket",98.312717,,Karon,182941.0,3811.0
35.0,127725,1,Apartment,,Phuket,,7.800243,,0,,4470407,"Rawai, Muang Phuket, Phuket",98.336727,,Rawai,131483.0,3757.0
71.0,105633,2,Condo,Unfurnished,Phuket,2012.0,7.861106,,0,2,7500000,"เจ้าฟ้านอก Chao fah nok, Wichit, Muang Phuket, Phuket",98.35309,Freehold,Wichit,220588.0,3107.0
369.0,34340,3,Detached House,Unfurnished,Phuket,,7.836655,2184.0,0,3,75000000,"Wichit, Muang Phuket, Phuket",98.4095017,,Wichit,2205882.0,1010.0
450.0,128000,6,Detached House,Fully Furnished,Phuket,2012.0,7.939621,250.0,0,4,32000000,"10/33 Kamala, Kammala, Kathu, Phuket",98.292125,,Kammala,941176.0,3765.0
1599.9999999999998,239783,10,Detached House,Fully Furnished,Phuket,,7.973001,1040.0,0,10,249375000,"Choeng Thale, Thalang, Phuket",98.279502,,Choeng Thale,7334559.0,7052.0
28.0,120200,1,Condo,Fully Furnished,Phuket,2013.0,7.90159,,0,,3365600,"Soi Hongyok Utis Yaowarat Road, Talat Yai, Muang Phuket, Phuket",98.378572,Freehold,Talat Yai,98988.0,3535.0
34.0,94285,1,Apartment,Fully Furnished,Phuket,,7.774218,,0,,3205710,"Rawai, Muang Phuket, Phuket",98.318782,,Rawai,94286.0,2773.0
57.0,105000,1,Condo,Fully Furnished,Phuket,2012.0,7.9027973,,0,1,5985000,"พระบารมี พระบารมี, Patong, Kathu, Phuket",98.3080182,,Patong,176029.0,3088.0
361.0,64206,6,Detached House,Unfurnished,Phuket,,8.0244356,1052.0,0,5,67545250,"Choeng Thale, Thalang, Phuket",98.3055757,,Choeng Thale,1986625.0,1888.0
106.0,24720,2,Detached House,Unfurnished,Phuket,,8.0217197,161.0,0,2,3980000,"Thep Krasattri, Thalang, Phuket",98.3220615,,Thep Krasattri,117059.0,727.0
360.0,39811,4,Detached House,Unfurnished,Phuket,,8.0559426,463.0,0,4,18432500,"Thep Krasattri, Thalang, Phuket",98.3193737,,Thep Krasattri,542132.0,1171.0
112.0,46109,2,Detached House,Fully Furnished,Phuket,,7.801321,284.0,0,2,13095000,"Rawai, Muang Phuket, Phuket",98.320082,,Rawai,385147.0,1356.0
495.0,78787,6,Detached House,Fully Furnished,Phuket,,7.9170824,660.0,0,5,52000000,"Patong, Kathu, Phuket",98.2885112,,Patong,1529412.0,2317.0
296.0,38223,2,Detached House,Fully Furnished,Phuket,,7.991564,484.0,0,2,18500000,"Choeng Thale, Thalang, Phuket",98.296494,,Choeng Thale,544118.0,1124.0
34.0,70588,1,Apartment,Fully Furnished,Phuket,,7.7983336,,0,1,2400000,"Rawai, Muang Phuket, Phuket",98.3257699,,Rawai,70588.0,2076.0
34.0,138235,1,Condo,Unfurnished,Phuket,2019.0,7.83473,,0,1,4700000,"Soi Patak 14, Karon, Muang Phuket, Phuket",98.301049,Freehold,Karon,138235.0,4066.0
672.0,79221,6,Detached House,Unfurnished,Phuket,,7.9476619,1435.0,0,4,113682700,"Kammala, Kathu, Phuket",98.2752809,,Kammala,3343609.0,2330.0
217.0,63742,3,Detached House,Unfurnished,Phuket,,7.773505,436.0,0,3,27791700,"Rawai, Muang Phuket, Phuket",98.314949,,Rawai,817403.0,1875.0
1599.9999999999998,112500,5,Detached House,Fully Furnished,Phuket,,8.0075567,799.9999999999999,0,4,90000000,"Pa Khlok, Thalang, Phuket",98.3921814,,Pa Khlok,2647059.0,3309.0
60.0,276000,1,Apartment,Fully Furnished,Phuket,2018.0,7.894849,,0,1,16560000,"33/1 Taweewong Road, Patong, Kathu, Phuket",98.295598,Freehold,Patong,487059.0,8118.0
120.0,153333,2,Condo,,Phuket,2014.0,7.8210654,,0,2,18400000,"Kata Kata, Karon, Muang Phuket, Phuket",98.2993432,Freehold,Karon,541176.0,4510.0
68.0,129694,1,Condo,,Phuket,2019.0,7.947589,,0,2,8819200,"63/1 Sirinart Road, Patong, Kathu, Phuket",98.271956,Freehold,Patong,259388.0,3815.0
142.0,36407,3,Detached House,Fully Furnished,Phuket,,8.0029318,412.0,0,3,15000000,"Sri Sunthon, Thalang, Phuket",98.3177847,,Sri Sunthon,441176.0,1071.0
45.0,64444,1,Condo,Fully Furnished,Phuket,2021.0,7.879898,,0,1,2900000,"Soi Verakij, Patong, Kathu, Phuket",98.297687,Freehold,Patong,85294.0,1895.0
42.0,107142,1,Condo,Fully Furnished,Phuket,2012.0,7.8871892,,0,1,4500000,"ป่าตอง Haad Patong, Patong, Kathu, Phuket",98.302693,,Patong,132353.0,3151.0
300.0,33186,3,Detached House,Partially Furnished,Phuket,,8.0008406,521.0,0,3,17290000,"Sri Sunthon, Thalang, Phuket",98.3234128,,Sri Sunthon,508529.0,976.0
122.0,21363,2,Detached House,Fully Furnished,Phuket,,7.792697,220.0,0,2,4700000,"Rawai, Muang Phuket, Phuket",98.329659,,Rawai,138235.0,628.0
41.0,217053,1,Apartment,Fully Furnished,Phuket,2018.0,7.894849,,0,,8899200,"33/1 Taweewong Road, Patong, Kathu, Phuket",98.295598,Freehold,Patong,261741.0,6384.0
134.0,58955,3,Townhouse,Unfurnished,Phuket,,7.9421593,82.0,0,3,7900000,"Kammala, Kathu, Phuket",98.2923763,,Kammala,232353.0,1734.0
162.0,22962,2,Detached House,Unfurnished,Phuket,,8.0217197,324.0,0,3,7440000,"Thep Krasattri, Thalang, Phuket",98.3220615,,Thep Krasattri,218824.0,675.0
34.0,129694,1,Condo,,Phuket,2019.0,7.947589,,0,,4409600,"63/1 Sirinart Road, Patong, Kathu, Phuket",98.271956,Freehold,Patong,129694.0,3815.0
210.0,15422,3,Detached House,Fully Furnished,Phuket,,8.0170281,616.0,0,3,9500000,"Choeng Thale, Thalang, Phuket",98.3103955,,Choeng Thale,279412.0,454.0
100.0,16333,2,Detached House,Partially Furnished,Phuket,,8.0903118,300.0,0,2,4900000,"Thep Krasattri, Thalang, Phuket",98.3546866,,Thep Krasattri,144118.0,480.0
240.0,165000,2,Detached House,Unfurnished,Phuket,,7.9764034,224.0,0,3,36960000,"Choeng Thale, Thalang, Phuket",98.2819472,,Choeng Thale,1087059.0,4853.0
95.0,114736,1,Condo,,Phuket,2014.0,7.8210654,,0,1,10900000,"Kata Kata, Karon, Muang Phuket, Phuket",98.2993432,Freehold,Karon,320588.0,3375.0
37.0,141266,1,Condo,Fully Furnished,Phuket,2021.0,8.034256,,0,1,5226859,"Soi Layan 4, Choeng Thale, Thalang, Phuket",98.292068,Freehold,Choeng Thale,153731.0,4155.0
115.0,38649,2,Detached House,Fully Furnished,Phuket,,8.015446,348.0,0,2,13450000,"Pa Khlok, Thalang, Phuket",98.392306,,Pa Khlok,395588.0,1137.0
65.0,90769,1,Condo,Fully Furnished,Phuket,2020.0,7.946718,,0,1,5900000,"Kammala, Kathu, Phuket",98.268805,Freehold,Kammala,173529.0,2670.0
330.0,98571,4,Detached House,,Phuket,,8.0634729,700.0,0,4,69000000,"Sa Khu, Thalang, Phuket",98.2831541,,Sa Khu,2029412.0,2899.0
54.0,124074,1,Townhouse,Fully Furnished,Phuket,,7.988302,96.0,0,1,6700000,"Choeng Thale, Thalang, Phuket",98.297414,,Choeng Thale,197059.0,3649.0
190.0,21250,2,Detached House,Partially Furnished,Phuket,,7.833024,400.0,0,4,8500000,"Chalong, Muang Phuket, Phuket",98.348272,,Chalong,250000.0,625.0
215.0,46663,3,Detached House,Unfurnished,Phuket,,8.020606,282.0,0,3,13159090,"Pa Khlok, Thalang, Phuket",98.395727,,Pa Khlok,387032.0,1372.0
47.0,156382,1,Apartment,Fully Furnished,Phuket,,7.925098,,0,,7350000,"Kammala, Kathu, Phuket",98.275969,,Kammala,216176.0,4599.0
61.00000000000001,81147,1,Apartment,Unfurnished,Phuket,,7.8358342,,0,1,4950000,"Karon, Muang Phuket, Phuket",98.2999577,,Karon,145588.0,2387.0
79.0,44000,2,Detached House,Partially Furnished,Phuket,,7.8129443,200.0,0,2,8800000,"Rawai, Muang Phuket, Phuket",98.3303945,,Rawai,258824.0,1294.0
345.0,39233,2,Detached House,Fully Furnished,Phuket,,7.991564,548.0,0,2,21500000,"Choeng Thale, Thalang, Phuket",98.296494,,Choeng Thale,632353.0,1154.0
40.0,131218,1,Condo,Unfurnished,Phuket,2022.0,7.979949250487842,,0,1,5248737,"66/2 Soi Hua Tiao, Choeng Thale, Thalang, Phuket",98.288185097334,Freehold,Choeng Thale,154375.0,3859.0
85.0,34901,2,Detached House,Fully Furnished,Phuket,,8.019697,255.0,0,2,8900000,"Thep Krasattri, Thalang, Phuket",98.3151961,,Thep Krasattri,261765.0,1026.0
110.0,89000,2,Condo,Fully Furnished,Phuket,2012.0,7.976032,,0,2,9790000,"25/3 Hadsurin, Choeng Thale, Thalang, Phuket",98.282733,Freehold,Choeng Thale,287941.0,2618.0
70.0,121428,2,Condo,Fully Furnished,Phuket,2012.0,7.861106,,0,2,8500000,"เจ้าฟ้านอก Chao fah nok, Wichit, Muang Phuket, Phuket",98.35309,Freehold,Wichit,250000.0,3571.0
261.0,146788,4,Detached House,Fully Furnished,Phuket,,7.82039,218.0,0,4,32000000,"Karon, Muang Phuket, Phuket",98.310602,,Karon,941176.0,4317.0
300.0,115000,4,Detached House,Unfurnished,Phuket,,7.84522,300.0,0,3,34500000,"Karon, Muang Phuket, Phuket",98.3031348,,Karon,1014706.0,3382.0
130.0,33653,2,Detached House,Fully Furnished,Phuket,,7.8125455,260.0,0,3,8750000,"Rawai, Muang Phuket, Phuket",98.3317741,,Rawai,257353.0,990.0
91.0,82417,1,Condo,Fully Furnished,Phuket,2012.0,7.817934,,0,2,7500000,"ปฏัก ปฏัก, Karon, Muang Phuket, Phuket",98.312717,,Karon,220588.0,2424.0
35.0,105512,1,Apartment,,Phuket,,7.800243,,0,,3692945,"Rawai, Muang Phuket, Phuket",98.336727,,Rawai,108616.0,3103.0
202.00000000000003,47412,3,Detached House,Fully Furnished,Phuket,,8.00219,303.0,0,3,14366000,"Soi Pasak 4/1, Choeng Thale, Thalang, Phuket",98.314755,,Choeng Thale,422529.0,1394.0
400.0,82000,4,Detached House,Fully Furnished,Phuket,2012.0,7.939621,250.0,0,3,20500000,"10/33 Kamala, Kammala, Kathu, Phuket",98.292125,,Kammala,602941.0,2412.0
328.0,60365,5,Detached House,Fully Furnished,Phuket,,7.7968629,328.0,0,4,19800000,"Rawai, Muang Phuket, Phuket",98.3276782,,Rawai,582353.0,1775.0
78.0,75000,1,Condo,Fully Furnished,Phuket,2012.0,7.976032,,0,1,5850000,"25/3 Hadsurin, Choeng Thale, Thalang, Phuket",98.282733,Freehold,Choeng Thale,172059.0,2206.0
300.0,115000,4,Detached House,Unfurnished,Phuket,,7.84522,300.0,0,3,34500000,"Karon, Muang Phuket, Phuket",98.3031348,,Karon,1014706.0,3382.0
205.0,38532,3,Detached House,,Phuket,,7.870892,140.0,0,3,5394500,"Talat Yai, Muang Phuket, Phuket",98.396417,,Talat Yai,158662.0,1133.0
600.0,53547,4,Detached House,Fully Furnished,Phuket,,7.829206,633.0,0,4,33895400,"Chalong, Muang Phuket, Phuket",98.333126,,Chalong,996924.0,1575.0
310.0,64678,4,Detached House,Fully Furnished,Phuket,,7.7856691,327.0,0,4,21150000,"Rawai, Muang Phuket, Phuket",98.3215611,,Rawai,622059.0,1902.0
248.0,120552,2,Detached House,Fully Furnished,Phuket,,7.9847714,510.0,0,2,61482000,"Pa Khlok, Thalang, Phuket",98.4210194,,Pa Khlok,1808294.0,3546.0
46.0,98913,1,Apartment,Fully Furnished,Phuket,,7.9066897,,0,1,4550000,"Patong, Kathu, Phuket",98.3052434,,Patong,133824.0,2909.0
46.0,98913,1,Apartment,Fully Furnished,Phuket,,7.9066897,,0,1,4550000,"Patong, Kathu, Phuket",98.3052434,,Patong,133824.0,2909.0
112.0,84269,5,Detached House,Fully Furnished,Phuket,,7.801321,267.0,0,5,22500000,"Rawai, Muang Phuket, Phuket",98.320082,,Rawai,661765.0,2478.0
300.0,23100,4,Detached House,Fully Furnished,Phuket,,7.990965,1000.0,0,4,23100000,"Choeng Thale, Thalang, Phuket",98.31272,,Choeng Thale,679412.0,679.0
361.0,65380,3,Detached House,Unfurnished,Phuket,,7.999729,325.0,0,3,21248774,"Choeng Thale, Thalang, Phuket",98.309086,,Choeng Thale,624964.0,1923.0
1280.0,84033,6,Detached House,Fully Furnished,Phuket,,7.963273,833.0,0,5,70000000,"Sri Sunthon, Thalang, Phuket",98.347374,,Sri Sunthon,2058824.0,2472.0
150.0,140000,3,Townhouse,,Phuket,,7.8788902,135.0,0,2,21000000,"Patong, Kathu, Phuket",98.2928534,,Patong,617647.0,4118.0
46.0,98913,1,Apartment,Fully Furnished,Phuket,,7.9066897,,0,1,4550000,"Patong, Kathu, Phuket",98.3052434,,Patong,133824.0,2909.0
190.0,121000,2,Condo,Fully Furnished,Phuket,2012.0,7.800743,,0,2,22990000,"14/5 Wiset, Rawai, Muang Phuket, Phuket",98.337407,Freehold,Rawai,676176.0,3559.0
122.0,163934,2,Condo,Fully Furnished,Phuket,2022.0,7.979949250487842,,0,2,20000000,"66/2 Soi Hua Tiao, Choeng Thale, Thalang, Phuket",98.288185097334,Freehold,Choeng Thale,588235.0,4822.0
450.0,50314,4,Detached House,Fully Furnished,Phuket,,7.9432182070087,636.0,0,4,32000000,"Kammala, Kathu, Phuket",98.292666792371,,Kammala,941176.0,1480.0
265.0,34081,3,Detached House,Fully Furnished,Phuket,,7.984041,588.0,0,3,20040000,"Choeng Thale, Thalang, Phuket",98.296581,,Choeng Thale,589412.0,1002.0
37.0,138986,1,Condo,Fully Furnished,Phuket,2021.0,8.034256,,0,1,5142498,"Soi Layan 4, Choeng Thale, Thalang, Phuket",98.292068,Freehold,Choeng Thale,151250.0,4088.0
34.0,93656,1,Apartment,Fully Furnished,Phuket,,7.774218,,0,,3184320,"Rawai, Muang Phuket, Phuket",98.318782,,Rawai,93656.0,2755.0
28.0,136875,1,Condo,Fully Furnished,Phuket,2013.0,7.90159,,0,1,3832500,"Soi Hongyok Utis Yaowarat Road, Talat Yai, Muang Phuket, Phuket",98.378572,Freehold,Talat Yai,112721.0,4026.0
250.0,26125,3,Detached House,Fully Furnished,Phuket,,7.990965,799.9999999999999,0,3,20900000,"Choeng Thale, Thalang, Phuket",98.31272,,Choeng Thale,614706.0,768.0
440.0,27619,3,Detached House,Unfurnished,Phuket,,8.094955,420.0,0,3,11600000,"Thep Krasattri, Thalang, Phuket",98.358217,,Thep Krasattri,341176.0,812.0
120.0,54166,2,Condo,Fully Furnished,Phuket,2012.0,7.976032,,0,2,6500000,"25/3 Hadsurin, Choeng Thale, Thalang, Phuket",98.282733,Freehold,Choeng Thale,191176.0,1593.0
200.0,35161,3,Detached House,Fully Furnished,Phuket,,7.938882,620.0,0,3,21800000,"Kammala, Kathu, Phuket",98.280446,,Kammala,641176.0,1034.0
319.0,72100,2,Condo,Fully Furnished,Phuket,2012.0,7.800743,,0,2,23000000,"14/5 Wiset, Rawai, Muang Phuket, Phuket",98.337407,Freehold,Rawai,676471.0,2121.0
65.0,90769,1,Condo,Fully Furnished,Phuket,2020.0,7.946718,,0,1,5900000,"Kammala, Kathu, Phuket",98.268805,Freehold,Kammala,173529.0,2670.0
160.0,34023,2,Detached House,Fully Furnished,Phuket,,7.953478,338.0,0,3,11500000,"Kammala, Kathu, Phuket",98.289627,,Kammala,338235.0,1001.0
138.0,61594,2,Condo,Partially Furnished,Phuket,2012.0,7.9434097,,0,2,8500000,"กมลา กมลา, Kammala, Kathu, Phuket",98.2889264,,Kammala,250000.0,1812.0
458.0,17241,3,Detached House,Fully Furnished,Phuket,2015.0,7.779959,1160.0,0,3,20000000,"ซอยสวนวัด ตำบลราไวย์ อำเภอเมือง ภูเก็ต, Rawai, Muang Phuket, Phuket",98.314715,Freehold,Rawai,588235.0,507.0
138.0,22250,3,Detached House,Fully Furnished,Phuket,,8.0913904,400.0,0,2,8900000,"Thep Krasattri, Thalang, Phuket",98.3604381,,Thep Krasattri,261765.0,654.0
34.0,124705,1,Condo,,Phuket,2019.0,7.947589,,0,,4240000,"63/1 Sirinart Road, Patong, Kathu, Phuket",98.271956,Freehold,Patong,124706.0,3668.0
300.0,65950,3,Detached House,Unfurnished,Phuket,,7.793198,241.0,0,3,15894000,"Rawai, Muang Phuket, Phuket",98.3142482,,Rawai,467471.0,1940.0
181.0,63653,4,Detached House,,Phuket,,7.9860111,166.0,0,3,10566498,"Sri Sunthon, Thalang, Phuket",98.3242978,,Sri Sunthon,310779.0,1872.0
261.0,163218,4,Condo,Fully Furnished,Phuket,2014.0,7.824568,,0,4,42600000,"29/17-18 หมู่ 5, Karon, Muang Phuket, Phuket",98.303996,,Karon,1252941.0,4801.0
217.0,70806,3,Detached House,Unfurnished,Phuket,,7.773505,383.0,0,3,27118800,"Rawai, Muang Phuket, Phuket",98.314949,,Rawai,797612.0,2083.0
360.0,39595,4,Detached House,Unfurnished,Phuket,,8.0559426,467.0,0,4,18491000,"Thep Krasattri, Thalang, Phuket",98.3193737,,Thep Krasattri,543853.0,1165.0
328.0,60365,5,Detached House,Fully Furnished,Phuket,,7.7968629,328.0,0,4,19800000,"Rawai, Muang Phuket, Phuket",98.3276782,,Rawai,582353.0,1775.0
71.0,59452,1,Detached House,Unfurnished,Phuket,,8.0735844,84.0,0,2,4994000,"Thep Krasattri, Thalang, Phuket",98.3460048,,Thep Krasattri,146882.0,1749.0
224.0,46026,2,Detached House,,Phuket,,7.786206,302.0,0,2,13900000,"Rawai, Muang Phuket, Phuket",98.314785,,Rawai,408824.0,1354.0
28.0,111870,1,Condo,Unfurnished,Phuket,2022.0,7.979949250487842,,0,,3132360,"66/2 Soi Hua Tiao, Choeng Thale, Thalang, Phuket",98.288185097334,Freehold,Choeng Thale,92128.0,3290.0
30.0,68000,1,Condo,Fully Furnished,Phuket,2012.0,8.0463515,,0,1,2040000,"Thep Kasattri Thep Kasattri, Karon, Muang Phuket, Phuket",98.3363856,Freehold,Karon,60000.0,2000.0
34.0,102941,1,Apartment,Fully Furnished,Phuket,2012.0,7.817934,,0,1,3500000,"ปฏัก ปฏัก, Karon, Muang Phuket, Phuket",98.312717,,Karon,102941.0,3028.0
300.0,115000,4,Detached House,Unfurnished,Phuket,,7.84522,300.0,0,3,34500000,"Karon, Muang Phuket, Phuket",98.3031348,,Karon,1014706.0,3382.0
320.0,27678,4,Detached House,Fully Furnished,Phuket,,7.938882,560.0,0,4,15500000,"Kammala, Kathu, Phuket",98.280446,,Kammala,455882.0,814.0
106.0,34352,3,Detached House,Fully Furnished,Phuket,,8.019697,301.0,0,3,10340000,"Thep Krasattri, Thalang, Phuket",98.3151961,,Thep Krasattri,304118.0,1010.0
402.0,41737,3,Detached House,Fully Furnished,Phuket,,7.836095,400.0,0,3,16695000,"Chalong, Muang Phuket, Phuket",98.340578,,Chalong,491029.0,1228.0
155.0,146341,2,Detached House,Unfurnished,Phuket,2020.0,8.136234,82.0,0,2,12000000,"Thepkasattri Road, Mai Khao, Thalang, Phuket",98.337696,Freehold,Mai Khao,352941.0,4304.0
223.00000000000003,25000,3,Detached House,Fully Furnished,Phuket,,8.0151271,740.0,0,3,18500000,"Choeng Thale, Thalang, Phuket",98.3120063,,Choeng Thale,544118.0,735.0
25.0,131264,1,Condo,Fully Furnished,Phuket,2021.0,8.034256,,0,,3281609,"Soi Layan 4, Choeng Thale, Thalang, Phuket",98.292068,Freehold,Choeng Thale,96518.0,3861.0
85.0,55329,2,Detached House,,Phuket,,8.039576,197.0,0,2,10900000,"Choeng Thale, Thalang, Phuket",98.294876,,Choeng Thale,320588.0,1627.0
330.0,31111,4,Detached House,Fully Furnished,Phuket,,8.0161309,900.0,0,4,28000000,"Choeng Thale, Thalang, Phuket",98.313062,,Choeng Thale,823529.0,915.0
272.0,34042,2,Detached House,Fully Furnished,Phuket,,7.788101,512.0,0,2,17429850,"Rawai, Muang Phuket, Phuket",98.311855,,Rawai,512643.0,1001.0
272.0,36350,2,Detached House,Fully Furnished,Phuket,,7.788101,478.0,0,2,17375450,"Rawai, Muang Phuket, Phuket",98.311855,,Rawai,511043.0,1069.0
